# 通譯輸入法 測資
#
# 一份檔案，用 `## 標籤 ｜ 主測：… ｜ 來源：…` 分節。計分器共用
# `src/bin/common/testdata.rs` 讀這份，**不再各自寫死檔名清單**——
# 從前十支計分器各有一份清單而且子集互不相同，加一個檔要改十處、
# 漏一處那支就默默少量一組。
#
# ## 格式
#
# 資料列三欄，**用 TAB 分隔**（用空白分欄的行會被靜默跳過）：
#
#   文字期望 <TAB> 按鍵期望 <TAB> 按鍵序列
#
#   第一欄 文字期望：各段用 `|` 分隔，`_` = 分隔符空白自成一段
#   第二欄 按鍵期望：**同樣的切法標在按鍵層級**，`|` 就是切點位置
#   第三欄 按鍵序列：使用者實際按的鍵
#
#   第二欄是計分基準——它不需要任何推導，逐字元比對即可。
#   按鍵序列裡的空白可能是「一聲」也可能是「分隔符」，正是要測的東西：
#     `check| |u vu84`   第一個空白是分隔符（前後都切），第二個是「一」的一聲
#
# ## 四種標記，沒有第五種（見 期望基準審核.md §0）
#
#   照寫 `A|B`   正確：段數與每段文字都要一樣
#   `~` 開頭     寬容-段：只比接起來的文字，切成幾段不管
#   ` || `       寬容-列舉：命中任一個就算對（前後**都要有空白**）
#   重產         測資本身寫錯，用 mkkeys 重產
#
# ## 規矩
#
# - **按鍵序列不准手敲**，一律用 mkkeys 產生並當場驗證。舊的 100 組
#   測資就是手敲注音毀掉的（多音字判讀錯），錯的期望會把計分器帶偏
# - **不從詞庫抽樣**——抽到的必然都是引擎查得到的東西，測不出真實使用
#   的樣子。真實輸入會有詞庫沒收的組合、專有名詞、口語說法
# - **刻意保留失敗案例**：測資反映真實需求，不是反映目前的能力。把做
#   不到的排除在外數字會好看，但下次改動時無從得知有沒有修好
# - 加完新測資先跑 `check_testdata`，**要先是 0** 才算數
#
# ## 節標題的「來源」
#
#   人工          人寫的句子，不能重產
#   使用者實測    實際打字時回報的案例，不能重產
#   生成          工具產的，可以整節重產
#
# 保留集（holdout）另外標記：它的規矩是**寫的時候不看引擎輸出**，
# 產測資時不准拿引擎篩選，否則它就失去「證明泛化」的意義。


## cutpoint ｜ 主測：切點 ｜ 來源：人工
# 切點測資：三語所有排列組合
#
# 15 種組合（中/英/日 的單語重複、兩語、三語排列）× 20 句 = 300 句
# 每種組合 10 句有分隔符空白（標成獨立的 `_` 段）、10 句完全黏著。
#
# 標記規則（依「通用語言輸入法 篩選規則」canvas）：
#
# 注音按鍵依「注音按鍵合法表及對照表.md」（使用者核對過）轉換。
#
#
#
已經|_|完成	u3ru/ | |j06t/6	u3ru/  j06t/6
引き受けてくれた || ひきうけてくれた	hikiuketekureta	hikiuketekureta
片付けておきます || かたづけておきます	kataduketeokimasu	kataduketeokimasu
出しておいてください || だしておいてください	dasiteoitekudasai	dasiteoitekudasai
確認してもらえますか || かくにんしてもらえますか	kakuninnsitemoraemasuka	kakuninnsitemoraemasuka
気をつけてください || きをつけてください	kiwotuketekudasai	kiwotuketekudasai
手伝ってくれない || てつだってくれない	tetudattekurenai	tetudattekurenai
教えていただけますか || おしえていただけますか	osieteitadakemasuka	osieteitadakemasuka
預かってもらえる || あずかってもらえる	azukattemoraeru	azukattemoraeru
届けてくれた || とどけてくれた	todoketekureta	todoketekureta
助かりました || たすかりました	tasukarimasita	tasukarimasita
間違えてしまいました || まちがえてしまいました	matigaetesimaimasita	matigaetesimaimasita
選んでください || えらんでください	eranndekudasai	eranndekudasai
始めましょう || はじめましょう	hazimemasyou	hazimemasyou
終わりました || おわりました	owarimasita	owarimasita
続けていく || つづけていく	tuduketeiku	tuduketeiku
止めておこう || とめておこう	tometeokou	tometeokou
進めていきます || すすめていきます	susumeteikimasu	susumeteikimasu
任せてください || まかせてください	makasetekudasai	makasetekudasai
急いでいる || いそいでいる	isoideiru	isoideiru
落ち着いてきた || おちついてきた	otituitekita	otituitekita
慣れてきました || なれてきました	naretekimasita	naretekimasita
よろしくお願いします || よろしくおねがいします	yorosikuonegaisimasu	yorosikuonegaisimasu
ありがとうございました	arigatougozaimasita	arigatougozaimasita
# ---- 2026-09-07 補 50 筆：動詞分類還原（romaji::inflect）----
# 這批對應 `romaji/inflect.rs`——引擎改成**照動詞分類反推辭書形**再查詞典，
# 取代原本「語尾長得像活用形就算」的後綴判斷。測資按那三類動詞鋪開：
#
#   一段（23 筆）  起きる・浴びる型，語幹直接接語尾，不音變
#   五段·ます形（8 筆）  曾被一段規則攔截，還原成「あるきる→アルキル」這種
#                        碰巧在詞典裡的假辭書形（非動詞）
#   五段·音便（19 筆）   促音便って／った、撥音便んだ、イ音便いた／いだ
#
# 按鍵一樣從**假名**產（mkkeys --sent 的 ja: 段），因為 mozc 只收辭書形。
# 期望用寬容-列舉列漢字混寫與全假名兩種（審核表 A6）。
# **寫正解不寫現況**——引擎現在把「たべて」打成「tab得て」、「はいった」
# 打成「ha言った」，那正是要它紅著的東西。
起きた || おきた	okita	okita
起きて || おきて	okite	okite
起きない || おきない	okinai	okinai
起きられる || おきられる	okirareru	okirareru
浴びた || あびた	abita	abita
浴びて || あびて	abite	abite
浴びない || あびない	abinai	abinai
食べた || たべた	tabeta	tabeta
食べて || たべて	tabete	tabete
寝た || ねた	neta	neta
寝て || ねて	nete	nete
寝ない || ねない	nenai	nenai
出た || でた	deta	deta
出て || でて	dete	dete
見て || みて	mite	mite
教えた || おしえた	osieta	osieta
教えて || おしえて	osiete	osiete
覚えた || おぼえた	oboeta	oboeta
忘れた || わすれた	wasureta	wasureta
調べた || しらべた	sirabeta	sirabeta
考えた || かんがえた	kanngaeta	kanngaeta
疲れた || つかれた	tukareta	tukareta
入れた || いれた	ireta	ireta
歩きます || あるきます	arukimasu	arukimasu
話します || はなします	hanasimasu	hanasimasu
待ちます || まちます	matimasu	matimasu
遊びます || あそびます	asobimasu	asobimasu
書きます || かきます	kakimasu	kakimasu
飲みます || のみます	nomimasu	nomimasu
読みます || よみます	yomimasu	yomimasu
使います || つかいます	tukaimasu	tukaimasu
入った || はいった	haitta	haitta
入って || はいって	haitte	haitte
帰った || かえった	kaetta	kaetta
走った || はしった	hasitta	hasitta
切った || きった	kitta	kitta
知った || しった	sitta	sitta
読んだ || よんだ	yonnda	yonnda
飲んだ || のんだ	nonnda	nonnda
住んだ || すんだ	sunnda	sunnda
泳いだ || およいだ	oyoida	oyoida
書いた || かいた	kaita	kaita
待った || まった	matta	matta
取った || とった	totta	totta
買った || かった	katta	katta
話した || はなした	hanasita	hanasita
負けた || まけた	maketa	maketa
終わった || おわった	owatta	owatta
始まった || はじまった	hazimatta	hazimatta
続けた || つづけた	tuduketa	tuduketa

# ---- 2026-09-07 補 20 筆：五段例外（iru／eru 結尾卻是五段）----
# 一段動詞的辭書形都以 iru／eru 結尾，但**反過來不成立**——帰る・走る・
# 入る・切る・知る 都是五段。這批是 `romaji::inflect` 最脆弱的地方：
# 一段／五段判斷寫錯就整批失效（一段直接接語尾，五段要先音便）。
#
# 全部用過去形（促音便），因為那正是兩類分得開的地方：
#   帰った（五段·促音便）  ／  変えた（一段·直接接）
#
# 其中兩筆是實測抓出來的洞：まいった（詞典首選「マイル」）、
# ほてった（首選「ホテル」）——片假名首選一度把整批動詞擋掉，
# 修在 commit 0339f63。
帰った || かえった	kaetta	kaetta
走った || はしった	hasitta	hasitta
入った || はいった	haitta	haitta
切った || きった	kitta	kitta
知った || しった	sitta	sitta
滑った || すべった	subetta	subetta
蹴った || けった	ketta	ketta
減った || へった	hetta	hetta
限った || かぎった	kagitta	kagitta
散った || ちった	titta	titta
握った || にぎった	nigitta	nigitta
下った || くだった	kudatta	kudatta
捻った || ひねった	hinetta	hinetta
参った || まいった	maitta	maitta
火照った || ほてった	hotetta	hotetta
擦った || こすった	kosutta	kosutta
罵った || ののしった	nonositta	nonositta
覆った || くつがえった	kutugaetta	kutugaetta
蘇った || よみがえった	yomigaetta	yomigaetta
翻った || ひるがえった	hirugaetta	hirugaetta

# 這三筆測的是**歧義**：同一串按鍵對得上好幾個動詞。
#
# **有歧義的顯示不算錯，但候選一定要有**（使用者的裁決）：
#   いった  行く／言う／要る 都成立，寬容-列舉列出來
#   てった  照る 是罕用字，顯示假名合理，但「照った」要選得到
#   まじった 交じる／交る 是同一個五段動詞的兩種送假名寫法，字面上
#            跟一段的「起きる」分不開——靠「長短並存」認出來（commit 見下）
#
# 候選是否齊全由 `inflect` 的單元測試把關（漢字候選 要含得到），
# 漏斗只量顯示。
行った || 言った || 要った || いった	itta	itta
てった || 照った	tetta	tetta
交じった || まじった	mazitta	mazitta

## kana_fragment ｜ 主測：切點 ｜ 來源：人工
# 假名碎片測資：中文裡長得像單一假名的那幾個音
#
# 這組測的是**切點**，不是選字。
#
# 大千鍵盤上，「聲母＋介音ㄧ」有五組剛好拼成合法假名，而它們後面接
# 韻母的三拼字，剩下的「韻母＋聲調」本身也是合法音節——於是整句中文
# 會被切成「日文假名｜注音」：
#
#   ㄐㄧ = ru = る   就、見、進、家、將、經
#   ㄋㄧ = su = す   年、鳥、娘
#   ㄑㄧ = fu = ふ   前、求、強
#   ㄒㄧ = vu        想、小、先
#   ㄌㄧ = xu        六、兩、連
#
# 例：「就」ㄐㄧㄡˋ = `ru.4` → `日:ru`（る）＋`注:.4`（噢）。
#
# 這一類在舊測資裡完全沒有被覆蓋到（2026-09-05 補）。單獨打一個字時
# 沒事（整串是一個音節時有別的規則擋著），**只有放進句子裡才會發作**，
# 所以這裡的句子一律是完整的短句。
#
# 採集方式：句子手寫，**按鍵一律程式產生**（詞查 BPMFMappings、
# 單字查 BPMFBase 的按鍵欄），避開了會查到別的讀音的多音字。
#
# **選字錯的列故意留著**（例：「他今天就回來」引擎給「救回來」，
# 因為「救回」是詞）——那是選詞層的另一條線，不在這組的範圍，依
# 期望基準審核.md 的 A5（排序錯，不寬容）。
#
#
他今天就回來	w8 rup wu0 ru.4cjo6x96	w8 rup wu0 ru.4cjo6x96
我明天就過去	ji3au/6wu0 ru.4eji4fm4	ji3au/6wu0 ru.4eji4fm4
這件事很重要	5k4ru04g4cp35j/4ul4	5k4ru04g4cp35j/4ul4
我看見那隻鳥	ji3d04ru04s8 5 sul3	ji3d04ru04s8 5 sul3
小明想要兩個	vul3au/6vu;3ul4xu;3ek4	vul3au/6vu;3ul4xu;3ek4
明年就有錢	au/6su06ru.4u.3fu06	au/6su06ru.4u.3fu06
前面那台車	fu06au04s8 w96tk 	fu06au04s8 w96tk 
六點要下班	xu.42u03ul4vu8410 	xu.42u03ul4vu8410 
先把東西放下	vu0 1832j/ vu z;4vu84	vu0 1832j/ vu z;4vu84
我進辦公室	ji3rup4104ej/ g4	ji3rup4104ej/ g4
將來再說	ru; x96y94gji 	ru; x96y94gji 
經過那個路口	ru/ eji4s8 ek4xj4d.3	ru/ eji4s8 ek4xj4d.3
他家離這裡很遠	w8 ru8 xu65k4xu3cp3m03	w8 ru8 xu65k4xu3cp3m03
連續下三天雨	xu06vm4vu84n0 wu0 m3	xu06vm4vu84n0 wu0 m3
求你幫個忙	fu.6su31; ek4a;6	fu.6su31; ek4a;6
小心前面有水	vul3vup fu06au04u.3gjo3	vul3vup fu06au04u.3gjo3
我們一起去吃飯	ji3ap6u fu3fm4t z04	ji3ap6u fu3fm4t z04
想想看再決定	vu;3vu;3d04y94rm,62u/4	vu;3vu;3d04y94rm,62u/4
今年就要畢業	rup su06ru.4ul41u4u,4	rup su06ru.4ul41u4u,4
他很強	w8 cp3fu;6	w8 cp3fu;6
他就那樣	w8 ru.4s8 u;4	w8 ru.4s8 u;4
你就知道	su3ru.45 2l4	su3ru.45 2l4
我先進去	ji3vu0 rup4fm4	ji3vu0 rup4fm4
那年冬天	s8 su062j/ wu0 	s8 su062j/ wu0 
他想了想	w8 vu;3xk7vu;3	w8 vu;3xk7vu;3
小小的鳥	vul3vul32k7sul3	vul3vul32k7sul3
兩三年前	xu;3n0 su06fu06	xu;3n0 su06fu06
六七個人	xu.4fu ek4bp6	xu.4fu ek4bp6
他見過你	w8 ru04eji4su3	w8 ru04eji4su3
求求你	fu.6fu.6su3	fu.6fu.6su3
強強的	fu;6fu;62k7	fu;6fu;62k7
今天就這樣	rup wu0 ru.45k4u;4	rup wu0 ru.45k4u;4
明天見	au/6wu0 ru04	au/6wu0 ru04
先走了	vu0 y.3xk7	vu0 y.3xk7
你想太多	su3vu;3w942ji 	su3vu;3w942ji 
再六天	y94xu.4wu0 	y94xu.4wu0 
那件事	s8 ru04g4	s8 ru04g4
天天見面	wu0 wu0 ru04au04	wu0 wu0 ru04au04
我進去看看	ji3rup4fm4d04d04	ji3rup4fm4d04d04
就快好了	ru.4dj94cl3xk7	ru.4dj94cl3xk7
我喜歡|寿司	ji3vu3cj0 |sushi	ji3vu3cj0 sushi
明天見|桜	au/6wu0 ru04|sakura	au/6wu0 ru04sakura
就去買|アニメ	ru.4fm4a93|anime	ru.4fm4a93anime
就是|vtuber	ru.4g4|vtuber	ru.4g4vtuber
兩個|ramen	xu;3ek4|ramen	xu;3ek4ramen


#
# ---- 2026-09-07 補 5 筆：五組地雷（ru su fu vu xu）各再一句 ----
見面|再說	ru04au04y94gji 	ru04au04y94gji 
進去|看看	rup4fm4|d04d04	rup4fm4d04d04
年紀|大了	su06ru4|284xk7	su06ru4284xk7
強調|重點	fu;62ul45j/42u03	fu;62ul45j/42u03
連續|三天	xu06vm4|n0 wu0 	xu06vm4n0 wu0 
## en_bopomofo ｜ 主測：切點 ｜ 來源：人工
# 混合語言測資（第七組）：英文詞的結尾偷走注音音節的開頭
#
# 這組測的是一個結構性陷阱——「常用英文詞 ＋ 一個字母 = 也是常用
# 英文詞」的組合在 en_50k 裡有 1265 組：
#
#   the → them / then / they      for → ford / fork / form / fort
#   you → your                    know → known / knows
#
# 於是英文段會多吃一個字元，而剩下的注音殘段往往仍然合法：
#
#   file ＋ d9（開，結尾是一聲空白） → 英:filed | 注:9  ← 9+空白是ㄡˉ，也合法
#   the  ＋ yl3（早）                → 英:they  | 注:l3
#
# 「英文詞＋注音」是這個輸入法的核心使用情境，而前六組測資只覆蓋到
# 3 句這種模式——那是測資的盲點，不是問題不存在。這組把它補起來。
#
# 每一句都是「一個英文詞 ＋ 一個中文詞」，30 個不同的英文詞。
# 選詞的標準是「英文詞＋注音的第一個鍵」也在英文詞典裡，也就是
# 一定會觸發這個陷阱。
#
#
#   第二、三欄的空白是**真的空白**（注音的一聲），不是符號
file|開	file|d9 	filed9 
for|開	for|d9 	ford9 
not|改	not|e93	note93
can|改	can|e93	cane93
was|成	was|t/6	wast/6
the|改	the|e93	thee93
you|開	you|d9 	youd9 
know|你	know|su3	knowsu3
are|你	are|su3	aresu3
and|早	and|yl3	andyl3
have|你	have|su3	havesu3
that|你	that|su3	thatsu3
what|你	what|su3	whatsu3
use|開	use|d9 	used9 
take|你	take|su3	takesu3
make|你	make|su3	makesu3
time|開	time|d9 	timed9 
home|早	home|yl3	homeyl3
name|開	name|d9 	named9 
work|你	work|su3	worksu3
look|早	look|yl3	lookyl3
want|你	want|su3	wantsu3
come|你	come|su3	comesu3
call|改	call|e93	calle93
part|早	part|yl3	partyl3
play|你	play|su3	playsu3
turn|你	turn|su3	turnsu3
show|早	show|yl3	showyl3
hand|早	hand|yl3	handyl3
this|開	this|d9 	thisd9 


#
# ---- 2026-09-07 補 20 筆：更多「英文詞＋一個字母也是詞」的組合 ----
for|改	for|e93	fore93
you|早	you|yl3	youyl3
know|走	know|y.3	knowy.3
then|去	then|fm4	thenfm4
they|好	they|cl3	theycl3
from|買	from|a93	froma93
with|看	with|d0 	withd0 
this|開	this|d9 	thisd9 
that|用	that|m/4	thatm/4
what|成	what|t/6	whatt/6
when|目	when|aj4	whenaj4
some|認	some|bp4	somebp4
more|要	more|ul 	moreul 
time|已 || time|以	time|u3	timeu3
make|大	make|284	make284
take|小	take|vul3	takevul3
come|多	come|2ji 	come2ji 
said|天	said|wu0 	saidwu0 
each|年	each|su06	eachsu06
like|月	like|m,4	likem,4
## en_split ｜ 主測：切點 ｜ 來源：人工
# 混合語言測資（第八組）：英文詞被切成兩半
#
# 這組測的是 `fewer_split_word` 針對的模式——英文詞的前綴剛好是
# 合法日文，於是整個詞被攔腰切開：
#
#   file ＋ d9（開）  →  日:fi | 英:led | 注:9
#                        `fi` 是ふぃ、`led` 是英文詞，兩段各自都說得通，
#                        但合起來 `filed` 才是真正的那個詞
#
# 這是「英文段偷注音的頭」（fewer_stolen）被罰之後，排序會改走的
# 迴避路線——罰了一種錯法，它就換另一種。所以兩條規則要一起測。
#
# 每一句都是「一個英文詞 ＋ 一個中文詞」，選詞標準是英文詞的前兩個
# 字母構成合法日文。十個中文詞輪流配，每個各 5 句。
#
#
#   第二、三欄的空白是**真的空白**（注音的一聲），不是符號
test|開	test|d9 	testd9 
report|你	report|su3	reportsu3
server|好	server|cl3	servercl3
output|早	output|yl3	outputyl3
format|去	format|fm4	formatfm4
result|上	result|g;4	resultg;4
delete|用	delete|m/4	deletem/4
select|成	select|t/6	selectt/6
search|天	search|wu0 	searchwu0 
record|認	record|bp4	recordbp4
file|開	file|d9 	filed9 
data|你	data|su3	datasu3
login|好	login|cl3	logincl3
logout|早	logout|yl3	logoutyl3
submit|去	submit|fm4	submitfm4
filter|上	filter|g;4	filterg;4
target|用	target|m/4	targetm/4
source|成	source|t/6	sourcet/6
merge|天	merge|wu0 	mergewu0 
deploy|認	deploy|bp4	deploybp4
review|開	review|d9 	reviewd9 
button|你	button|su3	buttonsu3
header|好	header|cl3	headercl3
footer|早	footer|yl3	footeryl3
layout|去	layout|fm4	layoutfm4
module|上	module|g;4	moduleg;4
number|用	number|m/4	numberm/4
value|成	value|t/6	valuet/6
table|天	table|wu0 	tablewu0 
field|認	field|bp4	fieldbp4
token|開	token|d9 	tokend9 
route|你	route|su3	routesu3
render|好	render|cl3	rendercl3
widget|早	widget|yl3	widgetyl3
parser|去	parser|fm4	parserfm4
logger|上	logger|g;4	loggerg;4
worker|用	worker|m/4	workerm/4
socket|成	socket|t/6	sockett/6
buffer|天	buffer|wu0 	bufferwu0 
packet|認	packet|bp4	packetbp4
handler|開	handler|d9 	handlerd9 
manager|你	manager|su3	managersu3
service|好	service|cl3	servicecl3
monitor|早	monitor|yl3	monitoryl3
backup|去	backup|fm4	backupfm4
restore|上	restore|g;4	restoreg;4
migrate|用	migrate|m/4	migratem/4
request|成	request|t/6	requestt/6
respond|天	respond|wu0 	respondwu0 
message|認	message|bp4	messagebp4


## en_vowel ｜ 主測：切點 ｜ 來源：人工
# 混合語言測資（第九組）：英文詞 ＋ 母音開頭的注音音節
#
# 注音音節以母音鍵開頭時（a93 買、e93 改、u3 已、ul4 要、aj4 目、
# el3 稿），前面英文詞的尾巴加上那個母音常常變成合法日文，
# 於是被日文段吃走：
#
#   email ＋ a93（買）  →  英:em | 日:aila | 注:93
#                          `aila` 是あいら，合法日文
#   commit ＋ a93       →  英:com | 日:mita | 注:93
#   server ＋ a93       →  英:ser | 日:vera | 注:93
#
# 這類組合有 5904 種——任何子音結尾的英文詞加母音都是合法日文，
# 而「英文詞＋注音」是這個輸入法的核心使用情境。
#
# 這組是目前最弱的一環，加進來的時候第 1 名只有 8%、前 3 名 76%。
# 保留失敗案例是刻意的：測資反映真實需求，不是反映目前的能力。
#
# 六個中文詞輪流配，每個 5～13 句。
#
# 2026-09-01 修正：原本的 e93 修、o4 我、i3 以、aj4 暗、el3 考
# 文字與按鍵讀音對不上（check_testdata 抓出來的），引擎永遠不可能
# 過。文字改成該按鍵真正的讀音——**這組的規格是按鍵**：音節必須
# 母音字母開頭才會跟前面的英文詞黏成日文，照文字反推按鍵
# （修 = vul ）就失去測試目的了。
#
# o4（ㄟˋ）與 i3（ㄛˇ）整個換掉：那兩個音幾乎沒有字（i3 一個都
# 沒有），使用者裁決改用 u3 與 ul4。
#
# 2026-09-02 裁決：`u3`（ㄧˇ）那 13 列改標**寬容-列舉**「已 || 以」。
#
# 理由是這組測資的規格是按鍵，不是文字——中文那個字只是載體，前面是
# 英文詞、後面是字串結尾，**沒有任何中文上下文**可以決定該是「已」還
# 是「以」，兩個都是常用字。原本寫死「已」而引擎給「以」，等於拿一個
# 硬幣的正反面在扣分：13 列裡有 8 列是這樣掛的（見 CLAUDE.md 的
# 「已／以」未決項）。照期望基準審核.md 的 A4「中文同音詞（兩個都是
# 真詞）→ 寬容-列舉」處理。引擎與 priority.txt 都沒有動。
#
# **考慮過補成「已經」，量完否決**：那樣答案會唯一（詞層蓋過單字排序，
# 已/以 之爭直接消失），13 列的通過數也從 8 升到 10——但多的那 2 分是
# 靠削弱難度換來的。`config`／`token`／`route` 的切法會從錯變對，而那
# 三個正是這組要抓的「英文詞尾＋母音黏成日文」；`buffer` 反而倒退。
# 這組的價值在於保留最難的案例，不在於分數好看。
#
#   第二、三欄的空白是**真的空白**（注音的一聲），不是符號
email|買	email|a93	emaila93
commit|改	commit|e93	commite93
server|已 || server|以	server|u3	serveru3
input|已 || input|以	input|u3	inputu3
output|要	output|ul4	outputul4
format|目	format|aj4	formataj4
result|要	result|ul4	resultul4
update|買	update|a93	updatea93
delete|改	delete|e93	deletee93
upload|已 || upload|以	upload|u3	uploadu3
config|已 || config|以	config|u3	configu3
file|要	file|ul4	fileul4
data|目	data|aj4	dataaj4
user|稿	user|el3	userel3
admin|要	admin|ul4	adminul4
login|買	login|a93	logina93
logout|改	logout|e93	logoute93
submit|已 || submit|以	submit|u3	submitu3
filter|已 || filter|以	filter|u3	filteru3
target|要	target|ul4	targetul4
deploy|目	deploy|aj4	deployaj4
review|稿	review|el3	reviewel3
status|要	status|ul4	statusul4
button|買	button|a93	buttona93
header|改	header|e93	headere93
footer|已 || footer|以	footer|u3	footeru3
layout|已 || layout|以	layout|u3	layoutu3
module|要	module|ul4	moduleul4
number|目	number|aj4	numberaj4
value|稿	value|el3	valueel3
index|要	index|ul4	indexul4
query|買	query|a93	querya93
cache|改	cache|e93	cachee93
token|已 || token|以	token|u3	tokenu3
route|已 || route|以	route|u3	routeu3
render|要	render|ul4	renderul4
widget|目	widget|aj4	widgetaj4
parser|稿	parser|el3	parserel3
logger|要	logger|ul4	loggerul4
worker|買	worker|a93	workera93
socket|改	socket|e93	sockete93
buffer|已 || buffer|以	buffer|u3	bufferu3
stream|已 || stream|以	stream|u3	streamu3
packet|要	packet|ul4	packetul4
handler|目	handler|aj4	handleraj4
manager|稿	manager|el3	managerel3
monitor|要	monitor|ul4	monitorul4
backup|買	backup|a93	backupa93
restore|改	restore|e93	restoree93
migrate|已 || migrate|以	migrate|u3	migrateu3


#
# ---- 2026-09-07 補 50 筆：更多「子音結尾英文詞＋母音注音」 ----
# 這類組合有 5904 種。36/50 過——這節仍是最弱的一環，數字誠實記著。
email|買	email|a93	emaila93
commit|買	commit|a93	commita93
server|買	server|a93	servera93
module|要	module|ul 	moduleul 
monitor|要	monitor|ul 	monitorul 
router|要	router|ul 	routerul 
parser|已	parser|u3	parseru3
filter|已 || filter|以	filter|u3	filteru3
folder|以	folder|u3	folderu3
header|改	header|e93	headere93
member|改	member|e93	membere93
number|稿	number|el3	numberel3
order|稿	order|el3	orderel3
player|買	player|a93	playera93
render|要	render|ul 	renderul 
sender|已 || sender|以	sender|u3	senderu3
banner|改	banner|e93	bannere93
cursor|稿	cursor|el3	cursorel3
driver|買	driver|a93	drivera93
editor|要	editor|ul 	editorul 
finder|已 || finder|以	finder|u3	finderu3
helper|改	helper|e93	helpere93
loader|稿	loader|el3	loaderel3
marker|買	marker|a93	markera93
packer|要	packer|ul 	packerul 
reader|已 || reader|以	reader|u3	readeru3
runner|改	runner|e93	runnere93
sensor|稿	sensor|el3	sensorel3
setter|買	setter|a93	settera93
sorter|要	sorter|ul 	sorterul 
tester|已 || tester|以	tester|u3	testeru3
viewer|改	viewer|e93	viewere93
worker|稿	worker|el3	workerel3
writer|買	writer|a93	writera93
anchor|要	anchor|ul 	anchorul 
binder|已 || binder|以	binder|u3	binderu3
caller|改	caller|e93	callere93
docker|稿	docker|el3	dockerel3
engine|買	engine|a93	enginea93
filler|要	filler|ul 	fillerul 
getter|已	getter|u3	getteru3
handle|改	handle|e93	handlee93
invoke|稿	invoke|el3	invokeel3
joiner|買	joiner|a93	joinera93
keeper|要	keeper|ul 	keeperul 
linker|已	linker|u3	linkeru3
mapper|改	mapper|e93	mappere93
opener|稿	opener|el3	openerel3
picker|買	picker|a93	pickera93
queuer|要	queuer|ul 	queuerul 
## symbol ｜ 主測：符號 ｜ 來源：人工
# 符號輸入測資：`\名字\` 叫出一組符號。
#
# 這組測的是**符號那條路**，不是切點也不是選字。三件事：
#
#   一、同一組符號中日英三個名字都叫得到（`\星\`／`\hoshi\`／`\star\`）
#   二、2026-09-05 重排之後，不同的東西各有各的名字（＋－×÷ 不再擠一組）
#   三、名字之外的反斜線原樣留著（路徑、沒收尾的那些）
#
# 反斜線兩邊強制切一刀）。**但守住那條規則的不是這份測資**——這裡的
# 名字都是詞典收得到的詞，規則壞掉第一名也不會變。實際守著它的是
# `cutpoint::incremental::tests::反斜線一定自成一段`，那條會遍歷所有
# 切法。量過：把規則關掉，這份測資 25/25 不動，單元測試立刻紅。
#
# 為什麼不放詞典收不到的名字（\noteq\ 那種、正是踩到坑的案例）：
# 它在計分器這條路上**一種合法切法都沒有**（`prune` 的「英文段必須是
# 詞」把它殺光），真正打字時是靠上層的退路才活著。放進來會是一列
# 永遠紅的測資，紅的還不是它該測的東西。
#
# 日文名字在表裡是**羅馬字**（表裡寫 hoshi 不寫 ほし），因為名字先用
# 組出來的文字查、查不到才用按鍵原文查，而羅馬字組出來的東西不可預期。
# `sekibun`／`mugen` 那類切點層會切成兩段（日:seki｜英:bun），
# 分段本身不影響輸出，就不寫進這裡綁死了——那幾條由單元測試
# `compose::tests::日文名字用按鍵查得到` 守著。
# 三種語言叫同一組符號
★	\|star|\	\star\
★	\|hoshi|\	\hoshi\
★	\|vu/ |\	\vu/ \
♥	\|heart|\	\heart\
♥	\|kokoro|\	\kokoro\
# 拆開之後各叫各的（2026-09-05 重排，不同東西不再擠在一組）
＋	\|plus|\	\plus\
×	\|times|\	\times\
÷	\|waru|\	\waru\
☀	\|sun|\	\sun\
☀	\|taiyou|\	\taiyou\
￥	\|yen|\	\yen\
♂	\|male|\	\male\
℃	\|celsius|\	\celsius\
# 群組那一列還在，第一個符號直接出來
＋	\|math|\	\math\
☀	\|weather|\	\weather\
# 中文名字看的是詞庫修正後的文字（逐字組出來不是那個詞）
♪	\|up m,4|\	\up m,4\
→	\|ru04w.6|\	\ru04w.6\
☀	\|wu0 fu4|\	\wu0 fu4\
\config\	\|config|\	\config\
c:\users\	c|:|\|users|\	c:\users\
c:\	c|:|\	c:\
# 夾在句子裡
你好★	su3cl3|\|star|\	su3cl3\star\
★你好	\|star|\|su3cl3	\star\su3cl3
# 邊界：收尾的反斜線被前一組吃掉，剩下的原樣（既有設計）
★heart\	\|star|\|heart|\	\star\heart\
# 路徑裡剛好有符號名字就會被換掉——**刻意接受的代價**（開發文件 §2.48）
e:★	e|:|\|vu/ |\	e:\vu/ \


#
# ---- 2026-09-07 補 25 筆：更多名字、三種語言都叫得到 ----
# 英文與日文羅馬字的名字按鍵就是名字本身（英文段 passthrough），
# 中文名字要靠詞庫組出文字才查得到——那正是 5afd34e 修的地方。
→	\|arrow|\	\arrow\
→	\|yajirushi|\	\yajirushi\
→	\|right|\	\right\
←	\|left|\	\left\
↑	\|up|\	\up\
↓	\|down|\	\down\
✓	\|check|\	\check\
✓	\|chekku|\	\chekku\
✗	\|cross|\	\cross\
✗	\|batsu|\	\batsu\
＋	\|plus|\	\plus\
－	\|minus|\	\minus\
×	\|times|\	\times\
÷	\|divide|\	\divide\
÷	\|waru|\	\waru\
±	\|plusminus|\	\plusminus\
